Age_Grouping,Total_Estimate,Male_Estimate,Female_Estimate
Total_population,331893745,164350703,167543042
Under 5 years,18661245,9552445,9108800
5 to 9 years,20010813,10284656,9726157
10 to 14 years,21821492,11155383,10666109
15 to 19 years,21824088,11171156,10652932
20 to 24 years,21382643,10925030,10457613
25 to 29 years,22100453,11211933,10888520
30 to 34 years,22978685,11595901,11382784
35 to 39 years,22371398,11321797,11049601
40 to 44 years,21362163,10702211,10659952
45 to 49 years,19782325,9867371,9914954
50 to 54 years,20891392,10418635,10472757
55 to 59 years,21141152,10438687,10702465
60 to 64 years,21673882,10513756,11160126
65 to 69 years,18351785,8699905,9651880
70 to 74 years,15426419,7204611,8221808
75 to 79 years,9872768,4420293,5452475
80 to 84 years,6278369,2695951,3582418
85 years and over,5962673,2170982,3791691
